id,treatment,task,answer,captcha,attention,age,gender,comprehension,well_written,meaningful,authentic,grade,reward,competent,warm,moral,lazy,trustworthy,manipulation_check,believe_check,chatgpt_familiarity,chatgpt_used,chatgpt_frequency,chatgpt_trust
43,Full,NonSocial,Buffy,1,TikTok,26,Female,The TV show 'Buffy the Vampire Slayer',6,5,5,A,0.9,5,4,4,7,3,They copied it word-for-word from ChatGPT,Yes,7,Yes,3,5
44,Control,Social,Friend,1,TikTok,33,Female,Their best friend,7,3,5,B,1,7,5,5,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,1
45,Tool,NonSocial,Titanic,1,TikTok,27,Female,The film 'Titanic',7,6,5,B,0.4,5,6,4,5,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,4
46,Full,NonSocial,Hobbit,1,TikTok,54,Female,The book 'The Hobbit',2,2,1,E,0.21,4,2,3,5,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,4
47,Full,NonSocial,Buffy,0.8999999761581421,TikTok,45,Male,The TV show 'Buffy the Vampire Slayer',6,3,1,E,0,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,1,No,1,3
48,Tool,NonSocial,Titanic,1,TikTok,37,Male,The film 'Titanic',3,2,2,C,0.25,2,1,2,7,2,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,2,2
49,Full,Social,Sister,1,TV,44,Female,Their sister,7,5,5,B,0.81,7,6,4,4,4,They copied it word-for-word from ChatGPT,Yes,5,No,2,4
50,Tool,NonSocial,Buffy,1,TikTok,34,Female,The TV show 'Buffy the Vampire Slayer',4,5,3,C,0.4,4,5,5,6,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,7,Yes,4,4
51,Tool,NonSocial,Buffy,1,TikTok,54,Male,The TV show 'Buffy the Vampire Slayer',7,7,7,A,1,6,7,7,5,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,2,6
52,Control,NonSocial,Titanic,1,TikTok,58,Female,The film 'Titanic',6,6,6,B,1,4,4,4,4,4,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,2
53,Tool,Social,Friend,1,TikTok,19,Male,Their best friend,7,6,5,A,1,7,5,6,1,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,3,5
54,Control,Social,Sister,1,TikTok,25,Female,Their sister,7,7,7,B,1,7,7,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,3,4
55,Control,Social,Sister,1,TikTok,28,Female,Their sister,5,7,6,A,1,5,7,5,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,4
56,Full,NonSocial,Hobbit,1,TikTok,53,Male,The book 'The Hobbit',6,6,1,B,0.8,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,3
57,Tool,NonSocial,Titanic,1,TikTok,44,Female,The film 'Titanic',6,3,4,B,0.8,6,3,5,2,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,6,Yes,4,4
58,Tool,Social,Friend,1,TikTok,22,Female,Their best friend,6,6,4,B,0.56,7,7,7,3,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,7,Yes,4,6
59,Tool,Social,Father,1,TikTok,27,Female,Their father,5,6,6,B,1,5,6,5,3,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,4
60,Tool,Social,Sister,1,TikTok,55,Female,Their sister,3,5,5,C,0.6,4,4,4,2,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,No,1,5
61,Control,Social,Father,1,TikTok,38,Female,Their father,7,7,6,B,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,4,6
62,Tool,Social,Sister,1,TikTok,62,Female,Their sister,7,7,7,A,1,7,7,7,2,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,2,Yes,2,4
63,Full,Social,Sister,1,TikTok,28,Female,Their sister,5,2,2,C,0.4,1,1,7,7,1,They copied it word-for-word from ChatGPT,Yes,6,Yes,2,6
64,Control,NonSocial,Titanic,1,TikTok,46,Female,The film 'Titanic',6,6,5,B,0.91,7,6,7,2,6,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,2
65,Control,Social,Friend,1,TikTok,53,Female,Their best friend,6,6,6,B,1,6,6,6,1,6,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,2,4
66,Full,NonSocial,Hobbit,1,Facebook,40,Female,The book 'The Hobbit',7,6,6,A,0.95,7,7,7,1,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,1,No,1,5
67,Control,NonSocial,Buffy,1,TikTok,36,Male,The TV show 'Buffy the Vampire Slayer',4,4,5,C,1,4,5,4,3,5,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,2
68,Control,NonSocial,Hobbit,1,TikTok,47,Male,The book 'The Hobbit',5,4,1,D,0.3,4,4,3,6,2,"They wrote it themselves, without any help from ChatGPT",No,6,Yes,3,4
69,Full,Social,Father,0.6000000238418579,TikTok,55,Female,Their father,7,7,7,B,0.2,4,4,2,6,2,They copied it word-for-word from ChatGPT,Yes,2,No,1,5
70,Control,Social,Friend,1,TikTok,28,Female,Their best friend,6,6,7,B,1,5,6,6,3,5,"They wrote it themselves, without any help from ChatGPT",Yes,4,Yes,3,3
71,Tool,NonSocial,Hobbit,1,TikTok,26,Female,The book 'The Hobbit',5,3,3,C,0.6,3,4,4,5,2,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,2,4
72,Control,NonSocial,Titanic,1,TikTok,58,Female,The film 'Titanic',7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,7
73,Full,NonSocial,Titanic,1,TikTok,30,Male,The film 'Titanic',5,2,1,D,0.2,5,3,2,1,2,They copied it word-for-word from ChatGPT,No,2,Yes,2,4
74,Tool,Social,Sister,1,Facebook,28,Female,Their sister,6,5,4,C,0.71,4,5,4,1,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,4,5
75,Full,Social,Father,1,TikTok,80,Male,Their father,7,7,6,A,0.95,6,7,7,1,6,They copied it word-for-word from ChatGPT,Yes,2,No,1,5
76,Control,NonSocial,Titanic,1,TikTok,52,Female,The film 'Titanic',6,6,6,B,0.9,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,3
77,Full,Social,Sister,1,TikTok,55,Female,Their sister,6,3,4,B,0.6,2,3,4,6,4,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,5
78,Full,Social,Friend,1,TikTok,46,Female,Their best friend,7,7,5,B,0.51,3,4,4,7,3,They copied it word-for-word from ChatGPT,Yes,4,Yes,2,4
79,Tool,NonSocial,Hobbit,1,TikTok,23,Male,The book 'The Hobbit',6,4,4,C,1,4,4,4,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,2,5
80,Full,NonSocial,Buffy,1,TikTok,37,Female,The TV show 'Buffy the Vampire Slayer',6,5,6,C,0.62,2,2,2,6,3,They copied it word-for-word from ChatGPT,No,2,Yes,2,3
81,Tool,NonSocial,Titanic,1,TikTok,43,Female,The film 'Titanic',6,6,6,B,1,4,5,2,6,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,No,1,4
82,Tool,Social,Sister,1,TikTok,23,Female,Their sister,5,5,4,C,0.65,5,4,3,5,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,2,3
83,Full,Social,Father,1,TikTok,31,Female,Their father,7,7,7,B,0.7,5,6,3,6,4,They copied it word-for-word from ChatGPT,Yes,4,Yes,2,5
84,Tool,NonSocial,Hobbit,1,TikTok,58,Female,The book 'The Hobbit',6,6,6,B,0.92,6,6,6,1,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,2,4
85,Tool,Social,Sister,1,TikTok,31,Female,Their sister,5,6,3,B,0.29,5,7,6,5,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,6,Yes,4,1
86,Tool,NonSocial,Hobbit,1,TikTok,23,Female,The book 'The Hobbit',5,6,5,B,1,3,4,4,2,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,5,6
87,Tool,Social,Friend,1,TikTok,42,Male,Their best friend,5,4,3,C,0.2,6,2,5,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,No,1,2
88,Full,NonSocial,Titanic,1,TikTok,64,Female,The film 'Titanic',4,2,2,E,0,2,2,1,7,2,They copied it word-for-word from ChatGPT,Yes,2,No,1,3
89,Tool,NonSocial,Hobbit,1,TikTok,41,Male,The book 'The Hobbit',4,5,3,D,0.1,4,4,4,6,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,4,6
90,Full,Social,Sister,1,TikTok,27,Female,Their sister,6,6,5,C,0.24,3,4,3,3,5,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,4
91,Tool,NonSocial,Hobbit,1,TikTok,47,Male,The book 'The Hobbit',5,3,3,E,0,4,4,3,6,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,5
92,Full,NonSocial,Titanic,1,TikTok,30,Male,The film 'Titanic',4,2,1,D,0.05,4,5,6,7,6,They copied it word-for-word from ChatGPT,Yes,4,Yes,3,3
93,Full,Social,Sister,1,TikTok,42,Female,Their sister,6,7,6,B,0.51,4,4,4,4,4,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,4
94,Full,Social,Friend,1,TikTok,29,Female,Their best friend,7,7,5,C,0.5,7,5,4,3,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,2,5
95,Tool,Social,Father,1,TikTok,24,Female,Their father,5,5,5,C,0.4,5,5,6,5,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,No,1,2
96,Full,Social,Father,1,TikTok,59,Female,Their father,6,1,1,B,0.05,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,5,No,1,4
97,Full,NonSocial,Titanic,1,TikTok,70,Female,The film 'Titanic',4,3,3,C,0.5,4,3,3,3,3,They copied it word-for-word from ChatGPT,Yes,6,Yes,4,5
98,Full,Social,Father,1,TikTok,28,Female,Their father,6,2,2,B,1,3,2,3,6,3,They copied it word-for-word from ChatGPT,Yes,4,Yes,3,4
99,Control,NonSocial,Hobbit,0.30000001192092896,TikTok,67,Male,The book 'The Hobbit',3,3,5,D,1,4,4,4,2,4,"They wrote it themselves, without any help from ChatGPT",Yes,1,No,1,4
100,Tool,NonSocial,Titanic,1,TikTok,61,Male,The film 'Titanic',7,2,2,E,0,1,1,1,7,1,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,3,4
101,Control,NonSocial,Hobbit,1,TV,19,Male,The book 'The Hobbit',3,5,7,D,1,2,7,6,7,6,"They wrote it themselves, without any help from ChatGPT",Yes,7,Yes,5,4
102,Full,Social,Father,1,TikTok,33,Male,Their father,5,2,3,D,0.15,4,3,4,6,4,They copied it word-for-word from ChatGPT,Yes,6,Yes,5,4
103,Control,Social,Father,1,TikTok,70,Male,Their father,7,7,7,A,1,7,7,7,1,7,"They wrote it themselves, without any help from ChatGPT",Yes,4,No,1,4
104,Full,NonSocial,Hobbit,1,TikTok,21,Female,The book 'The Hobbit',6,5,5,B,0.61,4,2,4,5,4,They copied it word-for-word from ChatGPT,Yes,6,Yes,4,4
105,Full,NonSocial,Titanic,1,TikTok,52,Female,The film 'Titanic',6,4,3,C,0.2,2,2,1,7,2,They copied it word-for-word from ChatGPT,Yes,3,Yes,2,3
106,Tool,Social,Sister,1,TikTok,57,Male,Their sister,5,5,6,B,0.25,5,4,3,6,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,2,No,1,2
107,Tool,NonSocial,Buffy,1,TikTok,60,Female,The TV show 'Buffy the Vampire Slayer',6,5,6,B,0.71,6,6,5,5,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,3,5
108,Control,NonSocial,Buffy,1,TikTok,26,Female,The TV show 'Buffy the Vampire Slayer',6,6,6,A,1,7,7,6,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,4
109,Control,NonSocial,Hobbit,1,TikTok,65,Female,The book 'The Hobbit',5,5,5,C,0.72,5,4,4,4,4,"They wrote it themselves, without any help from ChatGPT",Yes,2,No,1,3
110,Full,Social,Sister,1,TikTok,54,Female,Their sister,7,7,6,B,0.51,2,5,4,3,4,They copied it word-for-word from ChatGPT,No,7,Yes,4,6
111,Tool,Social,Sister,1,TikTok,60,Female,Their sister,5,6,6,C,0.4,5,5,5,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,2,5
112,Full,NonSocial,Titanic,1,TikTok,36,Male,The film 'Titanic',7,7,3,A,1,1,4,7,4,4,They copied it word-for-word from ChatGPT,Yes,6,Yes,3,5
113,Full,Social,Friend,0.800000011920929,TikTok,66,Female,Their best friend,5,5,4,C,0.3,5,6,5,1,5,They copied it word-for-word from ChatGPT,Yes,1,No,1,4
114,Full,NonSocial,Hobbit,1,TikTok,44,Male,The book 'The Hobbit',7,7,7,A,0.2,7,3,2,7,5,They copied it word-for-word from ChatGPT,Yes,5,Yes,4,5
115,Control,NonSocial,Buffy,1,TikTok,28,Female,The TV show 'Buffy the Vampire Slayer',5,6,6,B,0.81,6,7,6,1,6,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,4,3
116,Tool,Social,Sister,1,TikTok,32,Female,Their sister,7,6,6,B,0.7,6,6,6,3,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,7,Yes,5,6
117,Control,Social,Father,1,TikTok,30,Female,Their father,4,6,6,C,1,5,6,6,3,4,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,5
118,Tool,NonSocial,Titanic,1,Twitter,30,Female,The film 'Titanic',6,6,7,A,0.85,7,5,4,1,6,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,5,6
119,Tool,Social,Sister,1,TikTok,54,Male,Their sister,4,3,1,D,0.4,2,4,2,1,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,3,No,1,3
120,Tool,NonSocial,Titanic,1,TikTok,52,Female,The film 'Titanic',6,6,3,B,0.71,4,4,3,6,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,No,1,3
121,Control,NonSocial,Hobbit,1,TikTok,29,Female,The book 'The Hobbit',6,6,6,A,1,6,4,4,1,4,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,2,4
122,Tool,Social,Father,1,TikTok,53,Female,Their father,6,5,5,C,0.35,4,5,3,2,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,4,Yes,2,2
123,Full,NonSocial,Buffy,1,TikTok,67,Female,The TV show 'Buffy the Vampire Slayer',5,4,2,C,0.8,6,5,4,2,4,They copied it word-for-word from ChatGPT,Yes,1,No,1,3
124,Control,NonSocial,Buffy,1,TikTok,28,Female,The TV show 'Buffy the Vampire Slayer',6,5,3,B,0.5,2,4,2,6,2,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,4
125,Control,Social,Friend,1,TikTok,46,Female,Their best friend,5,5,3,B,0.81,5,6,4,4,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,3,5
126,Full,Social,Friend,1,TikTok,54,Female,Their best friend,4,1,2,C,0.35,1,1,1,7,2,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,5
127,Control,NonSocial,Titanic,1,TikTok,40,Female,The film 'Titanic',3,3,3,C,0.4,3,4,4,3,3,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,3
128,Full,NonSocial,Hobbit,1,TikTok,67,Male,The book 'The Hobbit',4,3,2,C,0.25,3,4,2,3,3,They copied it word-for-word from ChatGPT,Yes,5,Yes,3,5
129,Full,NonSocial,Titanic,1,TikTok,19,Male,The film 'Titanic',5,5,3,C,0.2,4,4,3,6,4,They copied it word-for-word from ChatGPT,Yes,6,Yes,4,5
130,Control,NonSocial,Titanic,1,TikTok,53,Female,The film 'Titanic',5,5,6,B,0.96,7,6,7,1,5,"They wrote it themselves, without any help from ChatGPT",Yes,4,Yes,2,3
131,Tool,NonSocial,Hobbit,1,TikTok,40,Female,The book 'The Hobbit',5,4,5,B,0.8,6,5,6,6,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,6,Yes,2,4
132,Control,NonSocial,Hobbit,1,Other,37,Male,The book 'The Hobbit',4,3,3,C,1,4,2,4,4,4,"They wrote it themselves, without any help from ChatGPT",No,4,No,1,1
133,Tool,NonSocial,Titanic,1,TikTok,28,Non-binary / third gender,The film 'Titanic',5,3,3,C,0.51,4,4,4,5,5,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,Yes,2,3
134,Tool,NonSocial,Buffy,1,TikTok,31,Female,The TV show 'Buffy the Vampire Slayer',6,5,5,B,0.3,5,5,4,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,3,No,1,2
135,Control,Social,Sister,1,TikTok,35,Female,Their sister,7,7,7,A,1,7,7,7,1,6,"They wrote it themselves, without any help from ChatGPT",Yes,5,Yes,3,4
136,Tool,NonSocial,Buffy,1,TikTok,50,Female,The TV show 'Buffy the Vampire Slayer',6,6,5,B,0.75,5,5,3,4,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,No,1,5
137,Tool,Social,Father,1,Facebook,39,Female,Their sister,6,6,6,B,0.8,6,6,5,5,7,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,NA,3,5
138,Full,NonSocial,Titanic,1,TikTok,31,Male,The film 'Titanic',5,5,2,A,1,6,6,6,5,7,They copied it word-for-word from ChatGPT,Yes,7,Yes,5,5
139,Full,NonSocial,Buffy,1,TikTok,57,Female,The TV show 'Buffy the Vampire Slayer',1,1,1,E,0,1,1,1,7,1,They copied it word-for-word from ChatGPT,Yes,2,Yes,2,3
140,Tool,Social,Sister,1,TikTok,42,Male,Their sister,2,2,3,C,0,2,5,3,7,3,"They wrote it themselves, using ChatGPT to provide ideas and feedback",Yes,5,Yes,2,1
141,Control,NonSocial,Hobbit,1,TikTok,50,Female,The book 'The Hobbit',5,4,5,B,0.6,5,4,4,2,4,"They wrote it themselves, without any help from ChatGPT",No,4,No,1,4
142,Control,Social,Father,1,TikTok,61,Male,Their father,6,7,5,C,0.66,6,7,4,3,4,"They wrote it themselves, without any help from ChatGPT",No,3,No,1,2
143,Control,Social,Friend,1,TikTok,19,Female,Their best friend,7,3,5,B,1,6,7,6,2,6,"They wrote it themselves, without any help from ChatGPT",No,5,Yes,3,3
144,Control,NonSocial,Hobbit,1,TikTok,63,Female,The book 'The Hobbit',6,3,6,B,0.81,6,4,5,2,5,"They wrote it themselves, without any help from ChatGPT",Yes,3,No,1,2
145,Full,Social,Friend,1,TikTok,31,Female,Their best friend,4,3,2,D,0.1,2,2,2,6,3,They copied it word-for-word from ChatGPT,Yes,4,No,1,2
146,Tool,Social,Father,1,TikTok,66,Male,Their father,3,2,2,C,0.3,4,2,4,1,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,3,Yes,2,2
147,Tool,NonSocial,Buffy,1,TikTok,37,Female,The TV show 'Buffy the Vampire Slayer',4,4,5,D,0.34,5,4,3,3,4,"They wrote it themselves, using ChatGPT to provide ideas and feedback",No,5,Yes,2,4
